sensor_id,latitude,longitude,PM10,rain_3h,is_rain,wind_deg,wind_speed,humidity,is_newYear,season,is_rushHour,PM10_average,temp,city,country
3280,51.318,6.202,5.021818181818182,0.0,1.0,78.5021,3.03,76.0,0.0,4.0,0.0,1.2,293.01,Nettetal,DE
5241,54.344,10.204,1.3800000000000008,0.0,1.0,84.5021,9.08,98.0,0.0,4.0,0.0,1.2,289.22,Mönkeberg,DE
1134,53.55,10.048,2.062325581395349,0.0,1.0,79.5021,4.48,76.0,0.0,4.0,0.0,1.2,290.06,Borgfelde,DE
3595,50.708,7.084,5.021818181818182,0.0,1.0,120.002,2.23,79.0,0.0,4.0,0.0,1.2,290.41,Ückesdorf,DE
5204,52.293,8.04,2.9481481481481477,0.0,1.0,83.0021,3.73,80.0,0.0,4.0,0.0,1.2,290.18,Osnabruck,DE
4416,49.413,8.712,5.021818181818182,0.0,1.0,87.0021,1.93,65.0,0.0,4.0,0.0,1.2,292.23,Heidelberg,DE
5173,50.933,6.934,5.021818181818182,0.0,1.0,120.002,2.23,79.0,0.0,4.0,0.0,1.2,291.76,Lindenthal,DE
3587,53.593,9.967,2.062325581395349,0.0,1.0,79.5021,4.48,76.0,0.0,4.0,0.0,1.2,290.07,Eppendorf,DE
2482,48.941,9.181,5.021818181818182,0.0,1.0,50.5076,1.66,74.0,0.0,4.0,1.0,1.2,286.77,Freiberg am Neckar,DE
2104,51.523,7.524,5.021818181818182,0.0,1.0,82.5076,2.31,72.0,0.0,4.0,1.0,1.2,289.13,Körne,DE
2029,48.854,8.831,5.021818181818182,0.0,1.0,103.002,1.88,72.0,0.0,4.0,0.0,1.2,292.33,Wimsheim,DE
2936,51.389,6.815,5.021818181818182,0.0,1.0,75.0076,2.21,70.0,0.0,4.0,1.0,1.2,289.65,Großenbaum,DE
1784,48.747,8.955,5.021818181818182,0.0,1.0,103.002,1.88,72.0,0.0,4.0,0.0,1.2,292.35,Magstadt,DE
991,48.127,11.601,5.021818181818182,0.005,1.0,82.0076,2.11,79.0,0.0,4.0,1.0,1.2,285.68,Altstadt,DE
3797,51.001,6.851,5.021818181818182,0.0,1.0,94.5076,2.06,76.0,0.0,4.0,1.0,1.2,289.09,Laubenkolonie,DE
851,51.434,7.008,5.021818181818182,0.0,1.0,75.0076,2.21,71.0,0.0,4.0,1.0,1.2,289.23,Essen,DE
5352,51.454,6.736,5.021818181818182,0.0,1.0,75.0076,2.21,70.0,0.0,4.0,1.0,1.2,289.53,Ruhrort,DE
3034,48.836,9.173,5.021818181818182,0.0,1.0,103.002,1.88,72.0,0.0,4.0,0.0,1.2,291.9,Zuffenhausen,DE
3125,50.769,7.302,5.021818181818182,0.0,1.0,120.002,2.23,79.0,0.0,4.0,0.0,1.2,290.12,"Hennef (Sieg), Stadt",DE
3258,51.307,12.383,4.6160000000000005,0.06,1.0,87.0021,2.13,92.0,0.0,4.0,0.0,1.2,288.49,Lössnig,DE
3099,52.745,13.474,1.3800000000000008,0.3825,1.0,92.0021,4.63,90.0,0.0,4.0,0.0,1.2,288.17,Wandlitz,DE
