sensor_id,latitude,longitude,PM10,rain_3h,is_rain,wind_deg,wind_speed,humidity,is_newYear,season,is_rushHour,PM10_average,temp,city,country
3689,50.239,8.595,5.062325581395349,,,15.0048,7.27,,,4,,1.2,233.76,Tawarano,DE
1415,49.466,11.086,2.062325581395349,,,15.0048,7.27,,,4,,1.2,303.76,Tawarano,DE
5455,49.051,9.250,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
5569,51.239,6.794,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
193,48.747,9.326,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
4975,51.032,7.011,10.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
1765,52.453,8.656,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
1090,48.705,9.121,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
910,51.443,6.997,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
2592,53.560,9.947,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
4689,52.053,8.524,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
1932,48.787,9.195,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
2844,50.825,7.123,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
1502,48.808,9.219,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
1004,53.481,10.174,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
4351,48.686,9.013,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
1676,48.105,11.616,18.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
2049,49.440,8.576,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
4869,53.595,9.946,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
2570,51.130,6.731,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
202,48.536,9.274,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
1297,48.491,9.185,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
966,48.730,9.304,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
236,48.182,10.976,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
3873,50.873,6.691,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
994,48.725,8.964,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
1842,48.156,11.551,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
5456,49.802,9.943,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
3544,52.871,9.579,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
5440,52.387,9.983,30.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
2217,48.067,11.140,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
300,48.728,9.124,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
40,48.722,9.209,29.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
5649,52.393,13.131,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
3352,53.596,9.982,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
1099,48.397,10.010,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
1012,50.058,8.295,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
4749,53.582,9.962,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
928,47.989,7.842,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
1005,53.481,10.174,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
4346,49.866,7.986,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
829,52.559,13.188,2.062325581395349,,,15.0048,7.27,,,4,,1.2,283.76,Tawarano,DE
